Nodo,Grado
146,653.209523809526
147,653.0166666666704
148,652.745238095237
149,652.7095238095254
150,652.5261904761943
151,652.4023809523812
152,652.326190476194
153,652.2166666666682
154,651.8047619047584
155,651.6333333333369
156,650.7119047619063
157,650.59047619048
158,650.2119047619117
159,650.0761904761902
160,649.4380952381
161,649.4000000000012
162,649.0666666666742
163,648.8976190476222
164,648.564285714287
165,648.4976190476224
166,648.4714285714301
167,648.2380952380892
168,647.5523809523827
169,647.4666666666714
170,647.4166666666697
171,646.5904761904786
172,646.297619047619
173,646.250000000002
174,646.0428571428558
175,645.5547619047632
176,645.2000000000106
177,645.1261904761911
178,644.9476190476247
179,644.83333333334
180,644.6809523809527
181,644.4333333333379
182,644.4166666666688
183,644.32619047619
184,644.1952380952375
185,643.8833333333384
186,643.8500000000116
187,643.7619047619063
188,643.2523809523839
189,642.3761904761899
190,642.3380952380938
191,642.3166666666684
192,642.2261904761923
193,641.9714285714279
194,641.8023809523822
195,641.2428571428612
196,641.1119047618992
197,640.6333333333367
198,640.6095238095282
199,640.5607142857071
200,640.5523809523726
201,640.4333333333368
202,640.3928571428587
203,640.2547619047627
204,640.0928571428477
205,639.9642857142849
206,639.6666666666674
207,639.3857142857134
208,639.2428571428588
209,639.1928571428587
210,639.1666666666703
211,639.0095238095253
212,638.5976190476191
213,638.4428571428583
214,638.3595238095307
215,638.276190476192
216,638.1095238095303
217,638.0452380952386
218,637.8857142857146
219,637.8761904761926
220,637.4952380952352
221,637.3166666666737
222,637.2857142857131
223,637.2428571428597
224,637.145238095239
225,636.4309523809528
226,636.3357142857128
227,636.0095238095258
228,635.8261904761928
229,635.5297619047604
230,635.2785714285739
231,635.1666666666708
232,635.0928571428619
233,634.9761904761923
234,634.9285714285728
235,634.7500000000009
236,634.5666666666712
237,634.5452380952383
238,634.4714285714286
239,634.3333333333345
240,634.3214285714304
241,634.1333333333409
242,633.8595238095229
243,633.8333333333416
244,633.8023809523803
245,633.7785714285699
246,633.7261904761923
247,633.7166666666717
248,633.6833333333409
249,633.5476190476185
250,633.3404761904727
251,633.2261904761926
252,633.1023809523821
253,633.0000000000091
254,632.9761904761931
255,632.8833333333336
256,632.6690476190468
257,632.5547619047637
258,632.49761904762
259,632.4523809523832
260,632.4119047619065
261,632.3285714285703
262,631.5119047619052
263,631.4833333333432
264,631.2238095238096
265,631.1833333333391
266,630.983333333338
267,630.8500000000026
268,630.5690476190479
269,630.5500000000018
270,630.3619047619072
271,630.1833333333279
272,630.151190476187
273,630.1428571428586
274,630.1095238095265
275,630.0571428571376
276,629.959523809527
277,629.6785714285743
278,629.5785714285724
279,629.4928571428586
280,629.4928571428537
281,629.0476190476184
282,628.8261904761906
283,628.3952380952317
284,628.2214285714267
285,628.2166666666707
286,628.0500000000077
287,628.0285714285728
288,627.9523809523827
289,627.7833333333413
290,627.6333333333401
291,627.5928571428574
292,627.5380952380887
293,627.3999999999992
294,627.3666666666708
295,627.3500000000067
296,627.3333333333361
297,627.1595238095285
298,627.1285714285676
299,626.9357142857165
300,626.914285714281
301,626.8833333333382
302,626.8190476190493
303,626.7547619047624
304,626.5000000000036
305,626.3500000000033
306,626.2785714285724
307,626.199999999997
308,626.050000000002
309,625.7642857142845
310,625.7333333333279
311,625.5904761904769
312,625.5809523809519
313,625.4619047619025
314,625.4547619047623
315,625.1095238095244
316,625.0333333333296
317,624.9857142857165
318,624.8857142857114
319,624.7333333333366
320,624.716666666671
321,624.6023809523793
322,624.5880952380921
323,624.5785714285715
324,624.5714285714284
325,624.5714285714283
326,624.5595238095253
